nome,famiglia,quartiere,nobile,cerchio
Dato di Pupo,nan,medio,No,C3
Dato di Urso,nan,foriporta,No,C3
Davino Setaiolus del fu Ser Puccino,nan,ponte,No,C3
Dino,nan,ponte,No,C3
Dino Boctarius,nan,ponte,No,C3
Dino di Duccio,nan,medio,No,C3
Dino di Guidone da Marti,nan,foriporta,No,C3
Dino di Vanni,nan,medio,No,C3
Dioniso di Bandini,nan,foriporta,No,C3
Dolfo,nan,medio,No,C3
Domenico,nan,ponte,No,C3
Domenico del Signor Ildebrandino,nan,kinzica,No,C3
Domenico di Andrea,nan,kinzica,No,C3
Domenico di Bernardo,nan,ponte,No,C3
Domenico di Ildebrando,nan,ponte,No,C3
Domenico di Lando,nan,medio,No,C3
Domenico di Salimbene di Amore,nan,foriporta,No,C3
Domenico di Ser Nerio,nan,medio,No,C3
Dominicus Ciati pro diebus tribus mart. et toto m. apr,nan,kinzica,No,C3
Enrico,nan,medio,No,C3
Enrico Bonamore,nan,ponte,No,C3
Enrico Centolire,nan,foriporta,No,C3
Enrico Malpiglio,Malpiglio,foriporta,No,C3
Enrico da Podio,nan,kinzica,No,C3
Enrico di Bencivenghi,nan,foriporta,No,C3
Enrico di Bonaccorsi di Michele,nan,medio,No,C3
Enrico di Ciano,nan,medio,No,C3
Enrico di Fedino da Ripafratta,nan,ponte,No,C3
Enrico di Francesco di Ranieri,nan,foriporta,No,C3
Enrico di Leone,nan,kinzica,No,C3
Enrico di Piero,nan,medio,No,C3
Enrico di Ser Lotto,nan,foriporta,No,C3
Enrico di Ser Lotto di Enrico,nan,foriporta,No,C3
Enrico di Taddeo di Ruggero,nan,,No,C3
Enrico di Turellino,nan,foriporta,No,C3
Enrico di Vanni di Sangue,nan,foriporta,No,C3
Fano di Bonaventura,nan,foriporta,No,C3
Fazio di Puccio di Manno,nan,foriporta,No,C3
Fece di Cola Rau,nan,,No,C3
Federico di Gaddo Almansoris,nan,foriporta,No,C3
Federico di Ser Cola Galletti,Galletti,medio,No,C3
Feduccio Paltrini,nan,kinzica,No,C3
Ferrante,nan,ponte,No,C3
Ferro del fu Sandro da Torciano,nan,,No,C3
Ferro del fu Sandro da Torciano / Ser Bartolomeo del fu Enrico da Montefoscoli,nan,,No,C3
Ferro di Tone,nan,medio,No,C3
Filiano di Andrea di Filiano,nan,medio,No,C3
Filippaccio del fu Giovanni Alliata,Alliata,foriporta,No,C3
Filippo da Cascina,nan,medio,No,C3
Filippo del fu Iacopo Bernardi,nan,,No,C3
Filippo di Bernardo,nan,medio,No,C3
Filippo di Clerico,nan,foriporta,No,C3
Filippo di Giovanni Alliata,Alliata,foriporta,No,C3
Filippo di Iacopo di Bernardo,nan,,No,C3
Filippo di Ser Baldo da San Casciano,da San Casciano,medio,No,C3
Fino di Colto di Cione,nan,medio,No,C3
Fino di Leopardo da Vico,nan,,No,C3
Forte,nan,kinzica,No,C3
Frammingo Multiccio,nan,kinzica,No,C3
Framuccio di Signor Framuccio,nan,medio,No,C3
Framuccio di Terio,nan,medio,No,C3
Francesco Castiglione,nan,ponte,No,C3
Francesco Cristiani,nan,medio,No,C3
Francesco Favilla,nan,kinzica,No,C3
Francesco Grasso,Grasso,medio,No,C3
Francesco Longo,nan,medio,No,C3
Francesco Merolla,nan,medio,No,C3
Francesco Puccini,nan,foriporta,No,C3
Francesco Roffini,nan,foriporta,No,C3
Francesco Rustici,Rustici,ponte,No,C3
Francesco Vinetti da Carraia,nan,,No,C3
Francesco da Cascina,da Cascina,kinzica,No,C3
Francesco da Pettori,nan,foriporta,No,C3
Francesco de Barba,de Barba,foriporta,No,C3
Francesco del fu Francesco sellaio,nan,,No,C3
Francesco del fu Giovanni di Paolo de Titignano,nan,,No,C3
Francesco del fu Giovanni di Vigore della Cappella di Santa Trinità,nan,,No,C3
Francesco del fu Olivieri da Vico,nan,,No,C3
Francesco del fu Ricuccio,nan,medio,No,C3
Francesco del fu Ser Ceo di Geremia,nan,,No,C3
